customer_id,customer_name,signup_date,home_store,loyalty_tier,total_orders,lifetime_revenue,first_purchase,last_purchase
C00086,Diya Joseph,2023-08-22,S03,Gold,16,61979.87,2024-01-10,2025-12-30
C00087,Aditya Patel,2024-01-09,S06,Platinum,26,160767.45,2024-01-17,2025-12-14
C00088,Ananya Patel,2024-04-16,S02,Gold,23,134136.35,2024-05-22,2025-12-14
C00089,Divya Sharma,2023-08-21,S05,Gold,1,2996.08,2025-01-03,2025-01-03
C00090,Neha Joseph,2023-04-23,S06,Bronze,3,4938.1,2024-11-01,2025-07-27
C00091,Sara Iyer,2024-05-11,S03,Bronze,0,0.0,,
C00092,Diya Krishnan,2024-03-17,S06,Bronze,4,22395.82,2024-04-11,2025-07-09
C00093,Vikram Joseph,2023-09-25,S08,Bronze,10,33160.17,2024-09-16,2025-12-25
C00094,Vikram Gupta,2024-05-24,S04,Gold,22,104489.63,2024-06-16,2025-12-29
C00095,Ishaan Patel,2024-01-21,S03,Platinum,11,64330.44,2024-03-04,2025-11-10
C00096,Ananya Menon,2024-01-22,S02,Gold,5,18832.21,2024-02-06,2025-03-23
C00097,Riya Menon,2023-04-23,S05,Silver,1,3797.09,2024-03-26,2024-03-26
C00098,Diya Reddy,2023-03-22,S08,Bronze,3,7675.61,2024-05-14,2025-12-24
C00099,Ananya Thomas,2023-04-23,S03,Bronze,8,51921.86,2024-06-01,2025-12-16
C00100,Karthik Pillai,2023-01-02,S03,Bronze,2,2834.47,2024-08-17,2024-12-13
C00101,Vivaan Joseph,2023-08-08,S04,Silver,6,27182.92,2024-01-22,2025-05-15
C00102,Arjun Thomas,2023-08-13,S05,Bronze,6,30527.58,2024-02-28,2025-05-19
C00103,Ananya Reddy,2024-01-20,S02,Platinum,3,3140.26,2024-05-27,2025-10-06
C00104,Vikram Sharma,2024-02-07,S08,Gold,8,20202.19,2024-07-30,2025-12-30
C00105,Nikhil Sharma,2023-05-10,S03,Bronze,1,25110.86,2025-03-29,2025-03-29
C00106,Rohan Kumar,2023-02-22,S06,Bronze,2,5649.42,2025-02-02,2025-10-02
C00107,Neha Pillai,2024-02-20,S05,Silver,1,3636.74,2024-04-01,2024-04-01
C00108,Ishaan Reddy,2023-09-04,S05,Bronze,5,17533.9,2024-07-10,2025-09-06
C00109,Vikram Patel,2024-03-14,S02,Gold,12,63817.27,2024-08-16,2025-10-26
C00110,Nikhil Gupta,2023-07-22,S07,Silver,4,45368.1,2024-08-21,2025-12-25
C00111,Vikram Gupta,2023-07-03,S02,Bronze,9,98142.29,2024-02-07,2025-09-13
C00112,Ananya Menon,2023-05-03,S01,Silver,8,28640.79,2024-06-26,2025-09-25
C00113,Sanjay Iyer,2024-02-05,S05,Bronze,0,0.0,,
C00114,Vikram Kumar,2023-10-21,S06,Gold,2,38878.86,2025-06-16,2025-07-08
C00115,Arjun Iyer,2023-10-07,S01,Bronze,1,763.2,2024-07-07,2024-07-07
C00116,Ananya Joseph,2023-07-17,S01,Gold,13,37940.77,2024-04-20,2025-12-16
C00117,Priya Menon,2024-05-25,S07,Silver,9,51515.92,2024-07-30,2025-12-25
C00118,Karthik Rao,2023-05-24,S07,Silver,8,50372.45,2024-02-09,2025-11-26
C00119,Rohan Rao,2023-07-20,S02,Bronze,2,17893.5,2025-06-01,2025-09-15
C00120,Kavya Sharma,2023-05-04,S06,Silver,2,13246.72,2025-03-07,2025-07-30
C00121,Neha Rao,2023-07-06,S04,Silver,0,0.0,,
C00122,Aditya Gupta,2023-11-22,S06,Silver,4,10088.13,2024-06-01,2025-12-20
C00123,Neha Patel,2024-04-08,S08,Gold,8,68234.2,2024-11-27,2025-08-18
C00124,Vivaan Krishnan,2023-12-15,S01,Silver,9,18980.55,2024-04-10,2025-10-28
C00125,Vikram Rao,2024-02-07,S07,Gold,13,66499.13,2024-02-17,2025-11-27
C00126,Vivaan Menon,2023-12-12,S04,Bronze,0,0.0,,
C00127,Anjali Thomas,2024-05-25,S05,Gold,12,38502.42,2024-05-26,2025-12-30
C00128,Kavya Iyer,2023-05-27,S06,Bronze,8,26081.96,2024-02-23,2025-11-22
C00129,Arjun Das,2023-05-28,S09,Gold,7,43005.7,2024-04-28,2025-02-09
C00130,Aarav Krishnan,2024-05-03,S01,Platinum,1,405.45,2025-11-24,2025-11-24
C00131,Ananya Kumar,2023-12-04,S01,Bronze,14,70808.43,2024-01-02,2025-11-15
C00132,Nikhil Menon,2024-04-17,S02,Silver,5,21755.63,2024-12-28,2025-12-16
C00133,Priya Patel,2023-05-31,S10,Silver,2,14659.92,2024-10-05,2024-12-28
C00134,Anjali Nair,2024-02-19,S06,Bronze,0,0.0,,
C00135,Arjun Varma,2023-10-25,S06,Silver,11,78922.02,2024-02-27,2025-12-14
C00136,Aarav Patel,2023-09-20,S01,Bronze,14,72121.13,2024-05-10,2025-09-25
C00137,Sara Kumar,2023-05-24,S08,Gold,5,13207.95,2024-07-14,2025-08-19
C00138,Vivaan Rao,2023-12-12,S08,Gold,9,54167.78,2024-01-01,2025-10-30
C00139,Ananya Varma,2023-01-02,S06,Silver,18,75244.84,2024-01-21,2025-07-26
C00140,Neha Rao,2023-10-31,S03,Silver,7,28383.92,2024-03-19,2025-11-12
C00141,Arjun Das,2023-09-11,S01,Silver,9,57243.99,2024-02-09,2025-06-10
C00142,Sanjay Krishnan,2024-03-28,S05,Bronze,3,5287.25,2024-05-27,2025-08-18
C00143,Arjun Joseph,2023-02-06,S06,Bronze,3,12890.97,2024-07-25,2025-01-12
C00144,Aditya Varma,2023-06-09,S01,Silver,6,26782.7,2024-01-10,2025-11-20
C00145,Aditya Rao,2023-01-09,S06,Platinum,0,0.0,,
C00146,Anjali Reddy,2023-08-21,S03,Silver,1,13458.14,2025-12-09,2025-12-09
C00147,Vivaan Nair,2023-04-09,S07,Silver,9,58416.68,2024-02-25,2025-11-07
C00148,Riya Menon,2023-07-27,S05,Gold,11,54581.44,2024-04-24,2025-11-22
C00149,Vikram Reddy,2023-05-11,S01,Bronze,2,2053.74,2025-04-18,2025-10-23
C00150,Sara Varma,2024-02-08,S05,Silver,35,180466.11,2024-02-22,2025-12-29
C00151,Sara Das,2023-06-01,S03,Bronze,9,53598.36,2024-09-06,2025-12-27
C00152,Aarav Joseph,2023-02-23,S02,Bronze,6,20970.02,2024-05-08,2025-11-26
C00153,Rohan Reddy,2023-04-30,S08,Silver,7,53508.17,2024-03-12,2025-08-29
C00154,Sara Patel,2024-02-24,S01,Silver,9,37423.15,2024-05-28,2025-12-18
C00155,Diya Reddy,2024-02-26,S03,Silver,4,23760.8,2024-11-11,2025-07-19
C00156,Riya Joseph,2023-04-14,S01,Silver,15,104114.98,2024-03-11,2025-11-13
C00157,Vikram Menon,2023-09-11,S01,Silver,2,5542.53,2024-05-25,2024-08-12
C00158,Arjun Krishnan,2023-08-15,S03,Gold,21,122348.08,2024-02-02,2025-11-25
C00159,Rohan Menon,2023-04-22,S01,Gold,15,75245.29,2024-02-10,2025-11-24
C00160,Vivaan Varma,2024-05-24,S05,Bronze,2,14145.73,2025-02-10,2025-09-14
C00161,Meera Gupta,2024-04-17,S01,Platinum,10,42398.13,2024-04-24,2025-09-07
C00162,Priya Rao,2023-04-09,S06,Silver,4,19595.0,2024-01-02,2025-03-29
C00163,Rohan Rao,2023-06-02,S01,Gold,15,84194.31,2024-01-02,2025-11-21
C00164,Vivaan Sharma,2023-12-04,S01,Silver,3,32848.76,2024-02-02,2025-07-16
C00165,Kavya Varma,2023-06-12,S03,Bronze,12,61131.99,2024-01-08,2025-11-30
C00166,Vivaan Nair,2023-06-10,S08,Bronze,1,445.07,2024-10-17,2024-10-17
C00167,Neha Varma,2024-02-02,S06,Silver,6,25191.01,2024-04-19,2025-11-29
C00168,Ananya Das,2023-10-04,S07,Silver,3,20299.63,2024-07-15,2025-05-22
C00169,Vivaan Patel,2024-05-18,S01,Silver,4,13702.38,2025-06-28,2025-10-31
C00170,Divya Menon,2024-01-27,S08,Silver,8,44509.25,2024-03-04,2025-06-30
C00171,Nikhil Varma,2023-05-15,S01,Bronze,8,44290.16,2024-02-13,2025-05-01
C00172,Diya Varma,2023-07-14,S02,Bronze,7,26971.8,2024-03-06,2025-11-12
C00173,Vikram Joseph,2024-02-05,S06,Silver,7,40697.47,2024-03-19,2025-12-27
C00174,Kavya Das,2023-02-02,S03,Bronze,1,2257.65,2024-06-23,2024-06-23
C00175,Sara Thomas,2024-04-04,S10,Silver,4,48082.03,2024-10-07,2025-07-01
C00176,Divya Iyer,2024-04-14,S01,Bronze,4,22221.88,2024-07-17,2025-09-19
C00177,Sanjay Das,2024-01-10,S10,Gold,14,65361.25,2024-07-20,2025-12-06
C00178,Divya Menon,2023-01-22,S06,Bronze,3,1948.74,2024-05-18,2025-11-03
C00179,Priya Reddy,2023-02-07,S05,Bronze,3,53476.91,2024-01-14,2025-02-11
C00180,Ishaan Sharma,2023-08-18,S01,Silver,3,5283.23,2024-11-10,2025-10-10
C00181,Karthik Sharma,2023-12-31,S03,Silver,5,18750.43,2024-06-23,2025-11-04
C00182,Divya Patel,2024-03-13,S09,Bronze,4,29713.04,2024-11-25,2025-09-17
C00183,Riya Joseph,2023-10-10,S03,Gold,6,22166.47,2024-03-24,2025-11-21
C00184,Ananya Das,2023-01-27,S06,Bronze,5,18775.83,2024-10-05,2025-11-03
C00185,Aarav Joseph,2023-08-14,S10,Bronze,7,40468.18,2024-01-22,2025-11-10
C00186,Ananya Sharma,2023-10-04,S03,Bronze,12,66811.75,2024-03-27,2025-10-15
C00187,Sanjay Reddy,2023-10-11,S05,Bronze,14,76522.05,2024-01-25,2025-06-23
C00188,Aditya Kumar,2024-04-25,S06,Silver,0,0.0,,
C00189,Karthik Krishnan,2024-03-28,S02,Bronze,8,48502.78,2024-03-30,2025-12-21
C00190,Riya Krishnan,2024-05-30,S01,Gold,2,5208.92,2025-05-11,2025-06-12
C00191,Diya Sharma,2024-06-30,S04,Bronze,4,12557.39,2025-04-20,2025-12-28
C00192,Meera Pillai,2023-07-11,S03,Silver,4,25926.94,2024-02-08,2025-10-05
C00193,Divya Kumar,2023-02-18,S06,Bronze,3,11724.26,2024-04-26,2025-11-08
C00194,Divya Reddy,2024-05-26,S01,Bronze,2,9979.2,2024-07-08,2025-04-17
C00195,Priya Nair,2023-01-17,S10,Bronze,2,2380.18,2024-03-12,2025-10-12
C00196,Karthik Kumar,2023-06-21,S01,Gold,16,79776.39,2024-04-30,2025-12-04
C00197,Divya Joseph,2023-08-08,S05,Silver,14,60487.86,2024-03-06,2025-12-02
C00198,Kavya Thomas,2023-06-07,S05,Gold,4,17268.25,2024-01-04,2025-02-23
C00199,Nikhil Varma,2024-04-21,S01,Silver,2,8762.99,2024-09-29,2025-11-29
C00200,Anjali Gupta,2023-02-15,S01,Gold,3,6740.11,2024-01-12,2025-07-12
C00201,Nikhil Varma,2024-01-08,S07,Silver,2,7141.52,2024-11-15,2025-04-09
C00202,Vivaan Iyer,2024-06-01,S08,Bronze,7,32230.2,2024-10-19,2025-12-17
C00203,Karthik Krishnan,2023-04-09,S03,Bronze,3,7222.0,2025-03-28,2025-12-04
C00204,Vikram Kumar,2023-02-06,S04,Silver,3,8714.16,2024-10-07,2025-07-21
C00205,Meera Krishnan,2023-10-07,S03,Silver,0,0.0,,
C00206,Divya Patel,2023-12-15,S01,Bronze,0,0.0,,
C00207,Arjun Nair,2024-05-11,S06,Silver,10,25412.64,2024-09-11,2025-12-11
C00208,Aditya Nair,2023-10-29,S08,Silver,1,7183.26,2025-02-14,2025-02-14
C00209,Neha Thomas,2023-06-30,S03,Silver,0,0.0,,
C00210,Meera Joseph,2023-04-09,S10,Bronze,3,15761.44,2024-02-23,2025-08-14
C00211,Vikram Pillai,2023-04-26,S01,Silver,5,10625.85,2024-01-09,2025-11-23
C00212,Diya Gupta,2023-07-10,S06,Bronze,6,22502.3,2024-01-31,2025-11-17
C00213,Ishaan Patel,2023-09-10,S04,Bronze,1,4970.71,2024-10-12,2024-10-12
C00214,Vivaan Joseph,2023-06-10,S04,Silver,5,14377.66,2024-01-28,2025-12-14
C00215,Diya Varma,2023-09-13,S04,Bronze,10,71359.58,2024-01-15,2025-12-10
C00216,Meera Kumar,2023-11-19,S02,Bronze,4,16180.7,2024-03-04,2025-11-26
C00217,Aarav Sharma,2023-05-08,S06,Bronze,3,12827.86,2024-07-02,2025-06-01
C00218,Priya Kumar,2023-01-18,S06,Bronze,2,13648.32,2024-10-16,2025-02-15
C00219,Arjun Kumar,2023-11-19,S03,Bronze,11,57134.44,2024-08-25,2025-12-19
C00220,Nikhil Reddy,2023-10-15,S08,Bronze,5,13246.19,2024-07-09,2025-12-10
C00221,Arjun Joseph,2023-06-04,S03,Silver,14,62437.82,2024-01-20,2025-11-28
C00222,Riya Pillai,2024-05-04,S06,Silver,4,22897.31,2024-10-19,2025-10-06
C00223,Vikram Thomas,2024-01-21,S01,Platinum,15,64974.25,2024-03-26,2025-12-27
C00224,Aditya Nair,2023-04-14,S02,Bronze,22,123362.29,2024-03-28,2025-12-25
C00225,Nikhil Nair,2024-01-28,S03,Bronze,1,25110.86,2025-06-27,2025-06-27
C00226,Anjali Menon,2023-09-03,S05,Silver,21,138102.22,2024-02-20,2025-12-30
C00227,Vikram Reddy,2023-06-25,S06,Bronze,1,1860.78,2024-02-25,2024-02-25
C00228,Meera Joseph,2023-02-08,S03,Gold,1,766.11,2025-11-11,2025-11-11
C00229,Riya Pillai,2024-04-21,S01,Silver,5,28520.58,2024-07-10,2025-09-17
C00230,Aarav Pillai,2024-06-21,S03,Bronze,6,13009.13,2024-09-14,2025-10-23
C00231,Aditya Iyer,2024-02-12,S06,Gold,15,98709.94,2024-02-13,2025-11-28
C00232,Priya Varma,2024-06-08,S06,Bronze,1,3679.49,2024-11-06,2024-11-06
C00233,Vikram Joseph,2024-05-20,S02,Platinum,11,56313.11,2024-06-13,2025-11-29
C00234,Vikram Gupta,2023-02-05,S01,Gold,3,12999.38,2024-11-01,2025-02-12
C00235,Kavya Sharma,2023-01-20,S07,Silver,13,36274.82,2024-11-20,2025-11-26
C00236,Neha Reddy,2023-11-17,S01,Bronze,3,15318.25,2024-08-20,2025-05-02
C00237,Neha Reddy,2024-05-26,S01,Bronze,5,23469.24,2025-02-11,2025-08-15
C00238,Karthik Krishnan,2024-02-04,S01,Bronze,2,1861.84,2024-03-25,2025-08-27
C00239,Karthik Joseph,2024-04-15,S04,Bronze,9,48871.33,2024-04-25,2025-08-24
C00240,Vikram Patel,2023-05-23,S04,Silver,14,72113.2,2024-01-14,2025-12-24
C00241,Karthik Reddy,2023-04-02,S06,Platinum,27,128972.74,2024-01-10,2025-12-11
C00242,Arjun Pillai,2023-12-20,S03,Bronze,0,0.0,,
C00243,Meera Sharma,2023-02-20,S06,Silver,11,69057.34,2024-02-23,2025-09-12
C00244,Meera Rao,2023-07-09,S02,Silver,3,16371.8,2024-02-13,2025-03-20
C00245,Riya Pillai,2023-05-05,S08,Gold,3,19948.1,2024-12-26,2025-10-15
C00246,Arjun Joseph,2023-05-30,S05,Bronze,4,29351.7,2024-01-30,2025-02-28
C00247,Rohan Sharma,2023-11-10,S05,Bronze,4,50478.58,2024-04-19,2025-12-15
C00248,Neha Kumar,2023-12-08,S02,Gold,8,44951.31,2024-02-14,2025-08-27
C00249,Neha Varma,2023-11-01,S01,Gold,9,44016.44,2024-03-31,2025-11-26
C00250,Nikhil Patel,2023-02-23,S04,Gold,0,0.0,,
C00251,Divya Krishnan,2024-03-19,S06,Silver,7,23659.73,2024-04-21,2025-12-30
C00252,Sara Krishnan,2023-09-21,S01,Bronze,4,18430.05,2025-04-18,2025-12-12
C00253,Arjun Reddy,2023-02-22,S10,Silver,2,14003.35,2025-04-09,2025-11-01
C00254,Vivaan Krishnan,2023-01-05,S10,Bronze,3,10484.43,2024-03-10,2024-09-08
C00255,Neha Reddy,2023-04-13,S05,Silver,8,31416.18,2024-02-23,2025-09-11
C00256,Divya Sharma,2023-07-15,S10,Silver,0,0.0,,
C00257,Ishaan Nair,2023-12-16,S02,Silver,5,25399.99,2024-05-06,2025-10-01
C00258,Sara Varma,2023-02-16,S01,Platinum,11,46735.77,2024-04-21,2025-11-16
C00259,Aarav Pillai,2023-09-26,S01,Silver,1,2296.61,2024-06-02,2024-06-02
C00260,Meera Das,2024-01-05,S05,Bronze,0,0.0,,
C00261,Vikram Reddy,2023-04-16,S01,Bronze,3,4975.9,2024-09-21,2025-12-11
C00262,Nikhil Das,2023-04-30,S10,Gold,25,135182.39,2024-06-12,2025-12-27
C00263,Kavya Krishnan,2023-02-27,S01,Bronze,10,19393.9,2024-02-27,2025-12-14
C00264,Kavya Joseph,2023-12-12,S03,Bronze,0,0.0,,
C00265,Ananya Gupta,2024-04-18,S08,Bronze,3,31483.24,2024-05-08,2025-10-07
C00266,Priya Rao,2023-04-27,S02,Silver,1,10262.53,2025-09-04,2025-09-04
C00267,Ishaan Thomas,2023-05-07,S02,Bronze,0,0.0,,
C00268,Priya Krishnan,2024-01-28,S06,Platinum,5,38259.33,2024-02-10,2025-11-19
C00269,Neha Iyer,2023-02-27,S03,Platinum,5,73021.3,2024-04-22,2025-11-08
C00270,Diya Thomas,2024-05-27,S02,Platinum,15,119526.37,2024-07-08,2025-11-09
C00271,Riya Gupta,2023-04-06,S02,Bronze,2,5600.89,2024-09-21,2025-02-06
C00272,Karthik Gupta,2023-04-28,S04,Platinum,7,27385.25,2024-03-22,2025-12-31
C00273,Vikram Reddy,2024-05-02,S10,Platinum,7,20411.57,2024-07-26,2025-11-08
C00274,Ananya Krishnan,2023-08-25,S08,Platinum,15,99164.81,2024-02-02,2025-12-09
C00275,Anjali Kumar,2023-09-29,S03,Silver,12,85099.17,2024-01-01,2025-10-20
C00276,Divya Rao,2023-07-08,S03,Silver,9,44410.46,2024-03-05,2025-11-15
C00277,Arjun Varma,2024-03-22,S04,Bronze,6,26773.22,2024-07-12,2025-09-26
C00278,Rohan Kumar,2023-09-04,S10,Gold,14,90528.39,2024-03-07,2025-11-22
C00279,Karthik Kumar,2023-03-17,S02,Bronze,1,8983.67,2024-11-22,2024-11-22
C00280,Sanjay Varma,2023-06-03,S03,Bronze,4,15745.09,2024-05-28,2025-12-06
C00281,Arjun Patel,2024-03-10,S06,Platinum,12,54947.96,2024-03-11,2025-10-29
C00282,Neha Nair,2023-03-27,S10,Bronze,4,15020.21,2024-05-28,2025-04-14
C00283,Ananya Thomas,2023-10-12,S01,Bronze,1,1517.39,2025-09-15,2025-09-15
C00284,Divya Pillai,2023-08-08,S02,Platinum,6,18894.13,2024-04-10,2025-01-09
C00285,Anjali Pillai,2023-03-10,S02,Platinum,40,198850.7,2024-02-03,2025-11-29
C00286,Riya Thomas,2023-02-16,S01,Bronze,10,32843.76,2024-02-14,2025-11-22
C00287,Vikram Joseph,2023-04-04,S05,Gold,5,57091.51,2024-04-07,2025-12-28
C00288,Karthik Patel,2024-03-28,S06,Bronze,1,2417.48,2025-06-10,2025-06-10
C00289,Divya Das,2023-07-23,S05,Bronze,1,3214.96,2025-05-10,2025-05-10
C00290,Neha Reddy,2023-08-06,S01,Bronze,4,56230.85,2024-03-05,2025-06-25
C00291,Sara Krishnan,2024-04-18,S01,Bronze,5,20306.49,2024-11-09,2025-05-22
C00292,Nikhil Iyer,2024-03-07,S02,Bronze,0,0.0,,
C00293,Vikram Rao,2023-12-07,S03,Bronze,3,23022.59,2025-05-26,2025-08-12
C00294,Ishaan Kumar,2023-10-16,S07,Gold,8,56012.42,2024-04-24,2025-11-20
C00295,Sara Kumar,2023-09-11,S01,Silver,4,21707.22,2024-10-02,2024-12-21
